timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1717200000,01.06.2024 00:00,1.42,0.4,,,0.0022,0.031,0.015,0.0009,
1717203600,01.06.2024 01:00,1.43,0.53,,,0.0021,0.045,0.019,0.0011,
1717207200,01.06.2024 02:00,1.47,0.53,,,0.0016,0.033,0.019,0.0015,
1717210800,01.06.2024 03:00,1.52,0.63,,,0.0016,0.034,0.019,0.0015,
1717214400,01.06.2024 04:00,1.53,0.67,,,0.0018,0.031,0.018,0.0013,
1717218000,01.06.2024 05:00,1.53,0.53,,,0.0031,0.04,0.018,0.0011,
1717221600,01.06.2024 06:00,1.47,0.4,,,0.0125,0.036,0.019,0.0007,
1717225200,01.06.2024 07:00,1.47,0.33,,,0.0184,0.041,0.02,0.0006,
1717228800,01.06.2024 08:00,1.49,0.4,,,0.02,0.052,0.023,0.0014,
1717232400,01.06.2024 09:00,1.48,0.4,,,0.0286,0.038,0.023,0.002,
1717236000,01.06.2024 10:00,1.46,0.4,,,0.0369,0.048,0.022,0.0034,
1717239600,01.06.2024 11:00,1.44,0.4,,,0.0531,0.051,0.022,0.0066,
1717243200,01.06.2024 12:00,1.38,0.3,,,0.082,0.028,0.015,0.0096,
1717246800,01.06.2024 13:00,1.36,0.27,,,0.0996,0.02,0.011,0.005,
1717250400,01.06.2024 14:00,1.36,0.2,,,0.1024,0.033,0.011,0.0043,
1717254000,01.06.2024 15:00,1.36,0.17,,,0.1112,0.023,0.012,0.0027,
1717257600,01.06.2024 16:00,1.36,0.0,,,0.1128,0.028,0.012,0.003,
1717261200,01.06.2024 17:00,1.36,0.0,,,0.1208,0.028,0.012,0.0024,
1717264800,01.06.2024 18:00,1.37,0.0,,,0.1195,0.03,0.013,0.0041,
1717268400,01.06.2024 19:00,1.37,0.0,,,0.1136,0.034,0.015,0.0069,
1717272000,01.06.2024 20:00,1.37,0.0,,,0.0882,0.109,0.019,0.0008,
1717275600,01.06.2024 21:00,1.37,0.0,,,0.0824,0.034,0.011,0.0008,
1717279200,01.06.2024 22:00,1.39,0.13,,,0.0535,0.033,0.01,0.0012,
1717282800,01.06.2024 23:00,1.4,0.17,,,0.0369,0.02,0.011,0.0015,
1717282800,01.06.2024 23:00,1.4,0.17,,,0.0369,0.0,0.011,0.0015,
1717286400,02.06.2024 00:00,1.4,0.23,,,0.0297,0.029,0.013,0.0015,
1717290000,02.06.2024 01:00,1.42,0.27,,,0.032,0.031,0.014,0.0011,
1717293600,02.06.2024 02:00,1.44,0.13,,,0.0526,0.024,0.014,0.0031,
1717297200,02.06.2024 03:00,1.45,0.17,,,0.0655,0.02,0.012,0.0017,
1717297200,02.06.2024 03:00,1.45,0.17,,,0.0655,0.0,0.012,0.0017,
1717300800,02.06.2024 04:00,1.49,0.2,,,0.0549,0.021,0.011,0.0017,
1717304400,02.06.2024 05:00,1.41,0.1,,,0.0628,0.016,0.011,0.0013,
1717308000,02.06.2024 06:00,1.42,0.17,,,0.0605,0.025,0.011,0.0015,
1717311600,02.06.2024 07:00,1.45,0.1,,,0.0594,0.032,0.014,0.0023,
1717315200,02.06.2024 08:00,1.45,0.13,,,0.0613,0.026,0.014,0.0024,
1717318800,02.06.2024 09:00,1.54,0.2,,,0.0451,0.036,0.017,0.0039,
1717322400,02.06.2024 10:00,1.44,0.2,,,0.0611,0.015,0.015,0.0044,
1717326000,02.06.2024 11:00,1.41,0.2,,,0.0826,0.032,0.015,0.0031,
1717329600,02.06.2024 12:00,1.4,0.2,,,0.0956,0.022,0.015,0.0036,
1717333200,02.06.2024 13:00,1.36,0.2,,,0.1072,0.018,0.014,0.0023,
1717336800,02.06.2024 14:00,1.35,0.2,,,0.1081,0.042,0.017,0.0021,
1717340400,02.06.2024 15:00,1.36,0.17,,,0.1073,0.033,0.018,0.002,
1717344000,02.06.2024 16:00,1.36,0.1,,,0.104,0.039,0.017,0.0018,
1717347600,02.06.2024 17:00,1.35,0.1,,,0.111,0.016,0.013,0.0012,
1717351200,02.06.2024 18:00,1.35,0.1,,,0.1135,0.037,0.016,0.001,
1717354800,02.06.2024 19:00,1.37,0.1,,,0.1044,0.041,0.018,0.0009,
1717358400,02.06.2024 20:00,1.38,0.1,,,0.0971,0.035,0.017,0.0008,
1717362000,02.06.2024 21:00,1.4,0.1,,,0.093,0.032,0.016,0.0007,
1717365600,02.06.2024 22:00,1.4,0.17,,,0.0697,0.035,0.018,0.0007,
1717369200,02.06.2024 23:00,1.41,0.2,,,0.0533,0.05,0.019,0.0007,
1717372800,03.06.2024 00:00,1.42,0.27,,,0.0276,0.033,0.019,0.0006,
1717376400,03.06.2024 01:00,1.43,0.23,,,0.0211,0.033,0.017,0.0005,
1717380000,03.06.2024 02:00,1.43,0.23,,,0.0312,0.039,0.021,0.0004,
1717383600,03.06.2024 03:00,1.44,0.27,,,0.0358,0.043,0.023,0.0004,
1717387200,03.06.2024 04:00,1.45,0.3,,,0.022,0.041,0.022,0.0004,
1717390800,03.06.2024 05:00,1.44,0.3,,,0.027,0.043,0.022,0.0005,
1717394400,03.06.2024 06:00,1.45,0.27,,,0.0286,0.031,0.019,0.0003,
